COUNTRY,HDI,FERTILITY RATE,FEMALE LITERACY,FEMALE LABOR PARTICIPATION,GDP PER CAPITA,URBANIZATION RATE,CHILD MORTALITY,MEAN AGE AT FIRST BIRTH,YEARS
Costa Rica,0.819,,0.981,,12394.0494,,9,27.9,2020
Cote d'Ivoire,0.553,,0.403,,2179.729348,,74,19.6,2020
Croatia,0.867,,0.992,,14808.46202,,5,29,2020
Cuba,0.762,,0.997,,9605.261251,,7,27.5,2020
Cyprus,0.905,,0.992,,28649.01563,,3,30,2020
Czechia,0.898,,,,23472.89155,,3,28.5,2020
Denmark,0.954,,0.99,,60985.48856,,4,29.8,2020
Djibouti,0.499,,,,2844.888106,,56,,2020
Dominica,0.753,,0.956,,7827.748427,,34,25.7,2020
Dominican Republic,0.767,,0.956,,7135.222733,,34,20.9,2020
Ecuador,0.74,,0.93,,5463.645153,,14,27.4,2020
Egypt,0.736,,0.689,,,,19,22.6,2020
El Salvador,0.66,,0.88,,3997.192796,,12,20.8,2020
Equatorial Guinea,0.668,,0.93,,5764.055029,,79,28.1,2020
Eritrea,0.495,,0.689,,,,39,21.3,2020
Estonia,0.901,,0.999,,23933.99394,,2,28.2,2020
Eswatini,0.657,,0.904,,3454.784217,,50,,2020
Ethiopia,0.486,,0.404,,905.3131593,,52,19.3,2020
Fiji,0.718,,0.924,,4844.421272,,27,28.72,2020
Finland,0.947,,1,,48828.68469,,2,29.5,2020
France,0.909,,0.962,,39169.8606,,4,28.9,2020
Gabon,0.732,,0.85,,6605.803461,,36,19.6,2020
Gambia,0.512,,0.523,,,,49,20.7,2020
Georgia,0.822,,1,,4300.857013,,10,25.9,2020
Germany,0.955,,0.99,,47379.76519,,4,29.9,2020
Ghana,0.614,,0.762,,2195.454817,,42,20.7,2020
Greece,0.896,,0.974,,17886.73317,,4,30.7,2020
Grenada,0.782,,,,8968.558901,,19,,2020
Guatemala,0.645,,0.786,,4477.617618,,24,20.6,2020
Guinea,0.488,,0.313,,1053.660977,,103,19.9,2020
Guinea-Bissau,0.498,,0.41,,836.2673142,,77,,2020
Guyana,0.722,,0.897,,6775.709391,,28,20.8,2020
Haiti,0.555,,0.639,,1290.325387,,60,22.4,2020
Honduras,0.625,,0.89,,2307.614943,,17,20.3,2020
Hong Kong,0.95,,0.896,,,,,29.8,2020
Hungary,0.857,,0.991,,16386.93088,,4,28.4,2020
Iceland,0.965,,0.99,,59023.56635,,3,28.7,2020
India,0.652,,0.7,,1907.042516,,32,21.2,2020
Indonesia,0.71,,0.95,,3853.702888,,23,22.4,2020
Iran,0.775,,0.849,,,,13,27.5,2020
Iraq,0.68,,0.763,,4295.189451,,25,29.5,2020
Ireland,0.948,,0.962,,86622.50673,,4,30.9,2020
Israel,0.912,,0.98,,44575.5719,,4,27.7,2020
Italy,0.899,,0.99,,32091.48666,,3,31.4,2020
Jamaica,0.711,,0.908,,4879.440258,,19,21.2,2020
Japan,0.922,,0.99,,40028.73417,,2,30.7,2020
Jordan,0.743,,0.92,,4022.040136,,14,24.6,2020
Kazakhstan,0.826,,0.998,,8781.507978,,10,28.9,2020
Kenya,0.6,,0.803,,1927.66459,,43,20.3,2020
Kiribati,0.632,,0.986,,1751.78232,,59,23.1,2020
South Korea,0.928,,0.984,,,,3,32.2,2020
Kuwait,0.837,,0.95,,25236.07555,,9,31.4,2020
Kyrgyzstan,0.7,,0.995,,,,18,22.6,2020
Laos,0.616,,0.834,,,,43,26.9,2020
Latvia,0.879,,0.999,,17564.23215,,4,27.3,2020
Lebanon,0.75,,0.9,,5561.19167,,16,29.4,2020
Lesotho,0.537,,0.898,,918.5825774,,67,20.9,2020
Liberia,0.498,,0.341,,616.787867,,80,19.1,2020
Libya,0.688,,,,6650.338106,,11,,2020
Liechtenstein,0.929,,,,164671.0936,,,31.3,2020
Lithuania,0.888,,0.998,,20428.64782,,4,28.2,2020
Luxembourg,0.916,,1,,116860.0282,,3,31,2020
Madagascar,0.483,,0.76,,450.7716152,,66,19.5,2020
Malawi,0.512,,0.651,,602.5074782,,43,19.1,2020
Malaysia,0.81,,0.95,,9957.526267,,8,27.9,2020
Maldives,0.73,,0.984,,7393.888654,,7,23.2,2020
Mali,0.414,,0.22,,953.2429433,,100,19.2,2020
Malta,0.903,,,,31833.59638,,6,29.3,2020
Marshall Islands,0.722,,,,5661.967873,,31,,2020
Mauritania,0.554,,0.622,,1795.764596,,42,21.8,2020
Mauritius,0.795,,0.905,,9011.042884,,16,,2020
Mexico,0.763,,0.94,,8841.270751,,14,21.3,2020
Micronesia,0.609,,,,,,26,,2020
Moldova,0.77,,0.995,,4375.778893,,15,25.2,2020
Mongolia,0.741,,0.99,,4001.251931,,3,20.5,2020
Montenegro,0.841,,0.985,,7612.628459,,15,26.3,2020
Morocco,0.683,,0.691,,3268.030273,,3,24.6,2020
Mozambique,0.477,,0.49,,462.4338765,,19,19.2,2020
Myanmar,0.609,,0.86,,1490.216835,,67,24.7,2020
Namibia,0.647,,0.923,,3878.58983,,43,21.6,2020
Nauru,0.684,,,,10695.69933,,46,,2020
Nepal,0.599,,0.633,,1154.215176,,30,20.4,2020
Netherlands,0.945,,0.962,,53467.92774,,4,30.2,2020
New Zealand,0.94,,0.99,,41850.92033,,5,27.8,2020
Nicaragua,0.676,,0.828,,1938.447048,,15,19.2,2020
Niger,0.404,,0.297,,579.5124958,,121,18.5,2020
Nigeria,0.547,,0.533,,2019.657063,,114,20.4,2020
North Macedonia,0.783,,0.978,,6659.596511,,6,26.9,2020
Norway,0.969,,1,,68340.0181,,2,29.8,2020
Oman,0.843,,0.95,,16784.86306,,11,26.6,2020
Pakistan,0.536,,0.46,,1278.397352,,65,22.8,2020
Palau,0.799,,0.96,,14556.58723,,23,,2020
Palestine,,,,,,,,,2020
Panama,0.808,,0.95,,13290.56083,,15,26.6,2020
Papua New Guinea,0.567,,0.616,,2429.611346,,45,21.9,2020
Paraguay,0.742,,0.94,,5365.472207,,19,22.9,2020
Peru,0.769,,0.92,,6133.325524,,17,21.9,2020
Philippines,0.699,,0.97,,3227.579102,,28,23.6,2020
Poland,0.88,,0.998,,16150.9291,,4,27.9,2020
Portugal,0.87,,0.959,,22299.40441,,3,29.9,2020
Qatar,0.872,,0.98,,51683.50544,,6,29.6,2020
Romania,0.832,,0.99,,13082.30066,,7,27.1,2020
Russia,0.818,,1,,,,5,25.2,2020
Rwanda,0.555,,0.77,,778.7014988,,43,23,2020
Saint Kitts and Nevis,0.828,,,,,,18,,2020
Saint Lucia,0.734,,,,,,16,,2020
Saint Vincent and the Grenadines,0.781,,,,,,12,,2020
Samoa,0.708,,0.993,,4099.660091,,17,,2020
San Marino,0.895,,1,,44426.64634,,2,31.9,2020
Sao Tome and Principe,0.628,,0.911,,2167.220018,,16,19.4,2020
Sauda Arabia,0.875,,0.96,,24338.83073,,7,31.6,2020
Senegal,0.522,,0.471,,1461.087204,,45,21.9,2020
Serbia,0.809,,0.99,,8098.709557,,6,28.2,2020
Seychelles,0.853,,0.967,,14041.47541,,15,,2020
Sierra Leone,0.454,,0.413,,845.9829143,,105,19.6,2020
Singapore,0.944,,0.96,,61410.07926,,2,30.5,2020
Slovakia,0.867,,0.996,,,,6,27.2,2020
Slovenia,0.918,,0.999,,25392.06511,,2,29,2020
Solomon Islands,0.579,,,,2063.331015,,22,22.6,2020
Somalia,,,0.44,,518.1847785,,114,,2020
South Africa,0.724,,0.89,,5580.603831,,34,27.5,2020
South Sudan,0.398,,0.289,,,,99,28.6,2020
Spain,0.901,,0.98,,27233.94265,,3,31.2,2020
Sri Lanka,0.78,,0.92,,3847.601377,,7,25.6,2020
Sudan,0.513,,0.561,,577.7952271,,55,29.2,2020
Suriname,0.714,,0.934,,4755.392217,,18,,2020
Sweden,0.951,,0.998,,52653.75659,,3,29.7,2020
Switzerland,0.963,,0.99,,85897.78433,,4,31.1,2020
Syria,0.57,,0.92,,,,22,26.22,2020
Tajikistan,0.664,,0.946,,834.3117155,,28,23.2,2020
Tanzania,0.554,,0.787,,1117.415283,,44,19.8,2020
Thailand,0.798,,0.915,,6985.643939,,10,23.3,2020
Timor-Leste,0.65,,0.665,,1630.869385,,54,23,2020
Togo,0.554,,0.55,,853.5782203,,64,25,2020
Tonga,0.765,,0.995,,4700.449405,,11,24.9,2020
Trinidad and Tobago,0.8,,0.938,,15358.8613,,21,,2020
Tunisia,0.733,,0.783,,3548.653637,,16,,2020
Turkey,0.833,,0.94,,,,11,26.6,2020
Turkmenistan,0.744,,0.996,,6592.60146,,43,24.2,2020
Tuvalu,0.681,,,,4976.112541,,22,,2020
Uganda,0.571,,0.765,,845.7664639,,44,19.4,2020
Ukraine,0.783,,1,,3709.769287,,8,26.2,2020
United Arab Emirates,0.909,,0.98,,37173.87541,,6,27.5,2020
United Kingdom,0.93,,0.92,,40404.80622,,4,29,2020
United States,0.925,,0.8333,,64401.50744,,7,27,2020
Uruguay,0.837,,0.99,,15757.5356,,7,26.4,2020
Uzbekistan,0.723,,1,,1978.280519,,15,23.7,2020
Vanuatu,0.617,,0.884,,3042.987116,,18,,2020
Venezuela,0.699,,0.977,,,,24,26.3,2020
Vietnam,0.755,,0.95,,,,21,23.7,2020
Yemen,0.459,,0.541,,,,21,20.8,2020
Zambia,0.578,,0.843,,951.6443167,,15,19.2,2020
Zimbabwe,0.582,,0.912,,1730.45391,,50,20.3,2020
