COUNTRY,HDI,FERTILITY RATE,FEMALE LITERACY,FEMALE LABOR PARTICIPATION,GDP PER CAPITA,URBANIZATION RATE,CHILD MORTALITY,MEAN AGE AT FIRST BIRTH,YEARS
Malawi,0.513,3.4,0.651,,602.5074782,,40,19.1,2022
Malaysia,0.81,1.75,0.95,,9957.526267,,8,27.9,2022
Maldives,0.764,1.71,0.984,,7393.888654,,6,23.2,2022
Mali,0.417,5.54,0.22,,953.2429433,,94,19.2,2022
Malta,0.917,1.5,0.964,,31833.59638,,6,29.3,2022
Marshall Islands,0.732,2.76,,,5661.967873,,29,,2022
Mauritania,0.562,3.53,0.622,,1795.764596,,39,21.8,2022
Mauritius,0.794,1.35,0.905,,9011.042884,,16,,2022
Mexico,0.783,1.68,0.94,,8841.270751,,13,21.3,2022
Micronesia,0.614,2.24,,,,,,,2022
Moldova,0.784,1.59,0.995,,4375.778893,,15,25.2,2022
Mongolia,0.742,1.91,0.99,,4001.251931,,14,20.5,2022
Montenegro,0.853,1.81,0.985,,7612.628459,,3,26.3,2022
Morocco,0.704,2.29,0.691,,3268.030273,,17,24.6,2022
Mozambique,0.49,4.81,0.49,,462.4338765,,64,19.2,2022
Myanmar,0.606,,0.86,,1490.216835,,40,24.7,2022
Namibia,0.649,2.98,0.923,,3878.58983,,42,21.6,2022
Nauru,0.7,2.62,,,10695.69933,,10,,2022
Nepal,0.605,1.9,0.633,,1154.215176,,28,20.4,2022
Netherlands,0.953,1.78,0.962,,53467.92774,,4,30.2,2022
New Zealand,0.933,1.86,0.99,,41850.92033,,5,27.8,2022
Nicaragua,0.701,1.8,0.828,,1938.447048,,14,19.2,2022
Niger,0.414,6.82,0.297,,579.5124958,,117,18.5,2022
Nigeria,0.557,4.62,0.533,,2019.657063,,108,20.4,2022
North Macedonia,0.811,1.51,0.978,,6659.596511,,4,26.9,2022
Norway,0.967,1.83,1,,68340.0181,,2,29.8,2022
Oman,0.846,2.7,0.95,,16784.86306,,11,26.6,2022
Pakistan,0.544,3.46,0.46,,1278.397352,,61,22.8,2022
Palau,0.786,1.7,0.96,,14556.58723,,23,,2022
Palestine,,,,,,,,,2022
Panama,0.835,2.39,0.95,,13290.56083,,14,26.6,2022
Papua New Guinea,0.572,3.92,0.616,,2429.611346,,42,21.9,2022
Paraguay,0.747,1.89,0.94,,5365.472207,,18,22.9,2022
Peru,0.79,2.2,0.92,,6133.325524,,16,21.9,2022
Philippines,0.714,2.78,0.97,,3227.579102,,27,23.6,2022
Poland,0.902,1.4,0.998,,16150.9291,,4,27.9,2022
Portugal,0.883,1.43,0.959,,22299.40441,,3,29.9,2022
Qatar,0.883,1.9,0.976,,51683.50544,,6,29.6,2022
Romania,0.84,1.63,0.99,,13082.30066,,7,27.1,2022
Russia,0.826,1.6,1,,,,,25.2,2022
Rwanda,0.57,3.33,0.77,,778.7014988,,41,23,2022
Saint Kitts and Nevis,0.829,1.76,,,,,,,2022
Saint Lucia,0.747,1.72,,,,,,,2022
Saint Vincent and the Grenadines,0.794,1.75,,,,,,,2022
Samoa,0.703,2.42,0.993,,4099.660091,,16,,2022
San Marino,0.91,1.53,1,,44426.64634,,2,31.9,2022
Sao Tome and Principe,0.636,3.56,0.911,,2167.220018,,15,19.4,2022
Sauda Arabia,0.893,1.92,0.96,,24338.83073,,6,31.6,2022
Senegal,0.526,4.27,0.471,,1461.087204,,40,21.9,2022
Serbia,0.826,1.46,0.99,,8098.709557,,5,28.2,2022
Seychelles,0.836,1.82,0.967,,14041.47541,,15,,2022
Sierra Leone,0.463,3.8,0.413,,845.9829143,,98,19.6,2022
Singapore,0.942,1.16,0.96,,61410.07926,,2,30.5,2022
Slovakia,0.873,1.46,0.812,,,,,27.2,2022
Slovenia,0.926,1.6,0.999,,25392.06511,,2,29,2022
Solomon Islands,0.583,2.87,,,2063.331015,,21,22.6,2022
Somalia,,5.31,0.44,,518.1847785,,143,,2022
South Africa,0.737,2.18,0.89,,5580.603831,,34,27.5,2022
South Sudan,0.388,5.32,0.289,,,,99,28.6,2022
Spain,0.911,1.27,0.98,,27233.94265,,3,31.2,2022
Sri Lanka,0.777,1.98,0.92,,3847.601377,,6,25.6,2022
Sudan,0.516,4.6,0.561,,577.7952271,,52,29.2,2022
Suriname,0.719,1.92,0.934,,4755.392217,,17,,2022
Sweden,0.959,1.67,1,,52653.75659,,3,29.7,2022
Switzerland,0.966,1.58,0.99,,85897.78433,,4,31.1,2022
Syria,0.571,2.8,0.92,,,,,26.22,2022
Tajikistan,0.687,2.45,0.946,,834.3117155,,28,23.2,2022
Tanzania,0.554,4.39,0.787,,1117.415283,,41,19.8,2022
Thailand,0.792,1.54,0.915,,6985.643939,,10,23.3,2022
Timor-Leste,0.633,4.21,0.665,,1630.869385,,51,23,2022
Togo,0.567,4.23,0.55,,853.5782203,,60,25,2022
Tonga,0.764,2.76,0.995,,4700.449405,,10,24.9,2022
Trinidad and Tobago,0.805,1.63,0.938,,15358.8613,,20,,2022
Tunisia,0.745,2,0.783,,3548.653637,,14,,2022
Turkey,0.853,1.93,0.94,,,,,26.6,2022
Turkmenistan,0.761,2.03,0.996,,6592.60146,,41,24.2,2022
Tuvalu,0.686,2.83,,,4976.112541,,21,,2022
Uganda,0.578,5.36,0.765,,845.7664639,,41,19.4,2022
Ukraine,0.772,1.56,1,,3709.769287,,9,26.2,2022
United Arab Emirates,0.921,1.64,0.98,,37173.87541,,5,27.5,2022
United Kingdom,0.946,1.63,0.99,,40404.80622,,5,29,2022
United States,0.93,1.84,0.99,,64401.50744,,7,27,2022
Uruguay,0.852,1.76,0.99,,15757.5356,,7,26.4,2022
Uzbekistan,0.737,1.73,1,,1978.280519,,14,23.7,2022
Vanuatu,0.621,2.66,0.884,,3042.987116,,17,,2022
Venezuela,0.706,2.22,0.977,,,,,26.3,2022
Vietnam,0.764,2.05,0.95,,,,,23.7,2022
Yemen,0.466,3.01,0.541,,,,,20.8,2022
Zambia,0.589,4.56,0.843,,951.6443167,,47,19.2,2022
Zimbabwe,0.594,3.89,0.912,,1730.45391,,46,20.3,2022
