COUNTRY,HDI,FERTILITY RATE,FEMALE LITERACY,FEMALE LABOR PARTICIPATION,GDP PER CAPITA,URBANIZATION RATE,CHILD MORTALITY,MEAN AGE AT FIRST BIRTH,YEARS
Afghanistan,0.495,4.62,0.266,,510.7870634,,57,19.9,2022
Albania,0.806,1.54,0.983,,5370.7775,,9,26.6,2022
Algeria,0.761,2.51,0.742,,3743.541952,,22,31.4,2022
Andorra,0.893,1.45,,,37361.09007,,3,32.8,2022
Angola,0.615,5.83,0.625,,1449.922867,,66,19.4,2022
Antigua and barbuda,0.848,1.95,,,15369.60823,,10,,2022
Argentina,0.858,2.18,0.991,,8535.59938,,10,31,2022
Armenia,0.801,1.65,1,,4268.680933,,11,25.2,2022
Australia,0.952,1.73,0.962,,51791.54018,,4,28.7,2022
Austria,0.927,1.51,0.962,,48716.40989,,3,29.7,2022
Azerbaijan,0.784,1.86,1,,4229.910649,,19,24,2022
Bahamas,0.818,1.98,0.955,,,,,18.6,2022
Bahrain,0.902,1.67,0.96,,24342.84446,,8,29.9,2022
Bangladesh,0.68,2.09,0.74,,2248.850788,,31,26.8,2022
Barbados,0.807,1.7,,,18347.11091,,10,,2022
Belarus,0.824,1.51,1,,6542.8558,,3,26.8,2022
Belgium,0.945,1.77,0.99,,45906.28758,,4,29.2,2022
Belize,0.717,2.62,0.916,,5227.193638,,13,27.2,2022
Benin,0.512,5.43,0.364,,1200.194266,,80,20.5,2022
Bhutan,0.695,1.79,0.639,,3191.66907,,24,31.4,2022
Bolivia,0.727,2.333333333,0.91,,3099.942191,,24,21.1,2022
Bosnia and Herzegovina,0.799,1.36,0.971,,6130.311332,,6,27.7,2022
Botswana,0.729,2.39,,,6323.297498,,41,,2022
Brazil,0.78,1.8,0.949,,7074.193783,,15,27.1,2022
Brunei Darussalam,0.825,1.74,0.969,,26834.35925,,10,,2022
Bulgaria,0.835,1.5,0.982,,10769.94757,,6,26.4,2022
Burkina Faso,0.457,4.27,0.291,,825.2370388,,80,19.4,2022
Burundi,0.437,5.03,0.694,,210.0081399,,51,21.5,2022
Cabo Verde,0.664,2.13,0.876,,3539.226612,,12,,2022
Cambodia,0.602,2.24,0.797,,2081.739142,,24,22.4,2022
Cameroon,0.581,4.55,0.731,,1555.603707,,70,20.1,2022
Canada,0.935,1.57,0.827,,43537.8393,,5,29.4,2022
Central African Republic,,4.04,0.262,,462.8790713,,387,28.8,2022
Chad,0.414,5.46,0.189,,866.9478149,,104,18.1,2022
Chile,0.869,1.76,0.971,,13114.81547,,7,27.9,2022
China,0.796,1.45,0.95,,10627.4638,,7,27.5,2022
Colombia,0.782,1.95,0.96,,5339.687114,,12,21.7,2022
Comoros,0.602,2.78,0.569,,1527.169909,,41,23,2022
Congo,0.644,4.36,0.754,,,,,19.6,2022
Congo (Democratic Republic of),0.514,5.63,0.717,,,,,19.9,2022
Costa Rica,0.823,1.86,0.981,,12394.0494,,10,27.9,2022
Cote d'Ivoire,0.565,3.53,0.403,,2179.729348,,69,19.6,2022
Croatia,0.886,1.45,0.992,,14808.46202,,5,29,2022
Cuba,0.764,1.71,0.997,,9605.261251,,8,27.5,2022
Cyprus,0.908,1.48,0.992,,28649.01563,,4,30,2022
Czechia,0.911,1.49,,,23472.89155,,3,28.5,2022
Denmark,0.959,1.77,0.99,,60985.48856,,4,29.8,2022
Djibouti,0.51,2.15,,,2844.888106,,52,,2022
Dominica,0.759,2.02,0.956,,7827.748427,,35,25.7,2022
Dominican Republic,0.778,2.21,0.956,,7135.222733,,32,20.9,2022
Ecuador,0.773,2.04,0.93,,5463.645153,,13,27.4,2022
Egypt,0.751,2.88,0.689,,,,,22.6,2022
El Salvador,0.674,2.05,0.88,,3997.192796,,11,20.8,2022
Equatorial Guinea,0.677,4.26,0.93,,5764.055029,,73,28.1,2022
Eritrea,0.499,3.58,0.689,,,,37,21.3,2022
Estonia,0.902,1.61,0.999,,23933.99394,,2,28.2,2022
Eswatini,0.695,2.44,0.904,,3454.784217,,46,,2022
Ethiopia,0.494,1.61,0.404,,905.3131593,,48,19.3,2022
Fiji,0.726,2.26,0.924,,4844.421272,,29,28.72,2022
Finland,0.946,1.74,1,,48828.68469,,2,29.5,2022
France,0.916,2.03,0.962,,39169.8606,,4,28.9,2022
Gabon,0.73,3.31,0.85,,6605.803461,,34,19.6,2022
Gambia,0.519,3.79,0.523,,,,,20.7,2022
Georgia,0.838,1.75,1,,4300.857013,,9,25.9,2022
Germany,0.955,1.57,0.99,,47379.76519,,4,29.9,2022
Ghana,0.625,3.66,0.762,,2195.454817,,39,20.7,2022
Greece,0.897,1.4,0.974,,17886.73317,,4,30.7,2022
Grenada,0.789,1.93,,,8968.558901,,19,,2022
Guatemala,0.655,2.62,0.786,,4477.617618,,22,20.6,2022
Guinea,0.498,4.85,0.313,,1053.660977,,98,19.9,2022
Guinea-Bissau,0.511,4.69,0.41,,836.2673142,,72,,2022
Guyana,0.763,2.06,0.897,,6775.709391,,27,20.8,2022
Haiti,0.552,2.43,0.639,,1290.325387,,57,22.4,2022
Honduras,0.643,2.01,0.89,,2307.614943,,16,20.3,2022
Hong Kong,0.95,1.22,0.896,,,,,29.8,2022
Hungary,0.867,1.48,0.991,,16386.93088,,4,28.4,2022
Iceland,0.964,1.95,0.99,,59023.56635,,3,28.7,2022
India,0.676,2.1,0.7,,1907.042516,,29,21.2,2022
Indonesia,0.726,2.01,0.95,,3853.702888,,21,22.4,2022
Iran,0.793,1.93,0.849,,,,,27.5,2022
Iraq,0.695,3.25,0.763,,4295.189451,,23,29.5,2022
Ireland,0.947,1.92,0.962,,86622.50673,,4,30.9,2022
Israel,0.921,2.56,0.98,,44575.5719,,3,27.7,2022
Italy,0.905,1.22,0.99,,32091.48666,,3,31.4,2022
Jamaica,0.718,2.06,0.908,,4879.440258,,19,21.2,2022
Japan,0.921,1.38,0.99,,40028.73417,,2,30.7,2022
Jordan,0.751,2.96,0.92,,4022.040136,,14,24.6,2022
Kazakhstan,0.831,2.11,0.998,,8781.507978,,10,28.9,2022
Kenya,0.626,3.29,0.803,,1927.66459,,41,20.3,2022
Kiribati,0.642,2.2,0.986,,1751.78232,,57,23.1,2022
South Korea,0.928,1.9,0.984,,,,,32.2,2022
Kuwait,0.845,2.24,0.95,,25236.07555,,9,31.4,2022
Kyrgyzstan,0.717,2.5,0.995,,,,,22.6,2022
Laos,0.614,2.35,0.834,,,,,26.9,2022
Latvia,0.881,1.54,0.999,,17564.23215,,3,27.3,2022
Lebanon,0.755,1.71,0.9,,5561.19167,,17,29.4,2022
Lesotho,0.547,2.92,0.898,,918.5825774,,62,20.9,2022
Liberia,0.508,4.79,0.341,,616.787867,,75,19.1,2022
Libya,0.741,3.09,,,6650.338106,,11,,2022
Liechtenstein,0.936,1.69,,,164671.0936,,,31.3,2022
Lithuania,0.888,1.61,0.998,,20428.64782,,4,28.2,2022
Luxembourg,0.922,1.63,1,,116860.0282,,2,31,2022
Madagascar,0.483,3.62,0.76,,450.7716152,,66,19.5,2022
